1j09A04,1.10.8.70
1o7jA02,3.40.50.40
4pgaA02,3.40.50.40
1mf7A00,3.40.50.410
1mjnA00,3.40.50.410
1atzB00,3.40.50.410
1q0pA00,3.40.50.410
1pt6A00,3.40.50.410
1ijbA00,3.40.50.410
1jeyA01,3.40.50.410
1pcxA04,3.40.50.410
1jeyB01,3.40.50.410
1g7sA03,3.40.50.10050
2q5cA02,3.40.50.10660
2pjuA02,3.40.50.10660
1eu1A02,3.40.228.10
2napA03,3.40.228.10
2iv2X03,3.40.228.10
1cl8A00,3.40.580.10
1d02B00,3.40.580.10
1v2bB00,3.40.1000.10
2i8gA00,3.40.1000.10
1jhsA00,3.40.1000.10
1j57A00,3.40.1460.10
1wn9A00,3.40.1530.10
2pifA01,3.40.1640.10
2qziA00,3.40.1720.10
1t6lA00,3.70.10.10
1u7bA00,3.70.10.10
1rwzA00,3.70.10.10
1iz5A00,3.70.10.10
1plqA00,3.70.10.10
1dmlA00,3.70.10.10
1xgkA02,3.90.25.10
2gasA02,3.90.25.10
1ek6A01,3.90.25.10
2p5yA02,3.90.25.10
1e6uA02,3.90.25.10
2r6jA02,3.90.25.10
1t2aA02,3.90.25.10
1i24A02,3.90.25.10
1n7hB01,3.90.25.10
2hrzA02,3.90.25.10
1eq2D02,3.90.25.10
1oc2A02,3.90.25.10
1bxkA02,3.90.25.10
1n2sA02,3.90.25.10
2jfgA03,3.90.190.20
1w78A02,3.90.190.20
1p3dA03,3.90.190.20
1e8cB03,3.90.190.20
1o5zA02,3.90.190.20
1gg4A01,3.90.190.20
1j6uA03,3.90.190.20
1jbwA02,3.90.190.20
1s5dA00,3.90.210.10
1ltsA00,3.90.210.10
1lt3A00,3.90.210.10
1bcpA00,3.90.210.10
1apjA00,3.90.290.10
1ksqA00,3.90.290.10
1aopA02,3.90.480.10
1lm5B00,3.90.1290.10
1lm7A00,3.90.1290.10
1l1lA03,3.90.1390.10
1ro7C00,3.90.1480.10
2p2vA00,3.90.1480.10
1h7dA00,4.10.92.10
1v54I00,4.10.93.10
3cj8C01,4.10.180.10
2p5zX03,4.10.180.10
2bbvD00,4.10.180.10
1cwxA00,4.10.710.10
2jz6A01,4.10.1160.10
2gqfA03,1.10.8.260
1x6iA00,1.10.150.250
1a0rP02,1.10.168.10
1b9xC02,1.10.168.10
1nh2D01,1.10.287.190
1k92A03,1.10.287.400
3cjhD00,1.10.287.810
3cjhI00,1.10.287.810
3e2oA01,1.10.520.10
1gwuA01,1.10.520.10
1yydA01,1.10.520.10
2vcnA01,1.10.520.10
1u2kA01,1.10.520.10
1itkA01,1.10.520.10
1c8iA01,1.10.520.10
2d5bA03,1.10.730.10
1h3nA04,1.10.730.10
1pg2A02,1.10.730.10
1wkbA03,1.10.730.10
1f7uA02,1.10.730.10
1ileA03,1.10.730.10
1iq0A03,1.10.730.10
1gaxA02,1.10.730.10
1lm8V01,1.10.750.10
2i3hB00,1.10.1170.10
1se0A00,1.10.1170.10
1jd5A00,1.10.1170.10
1g73D00,1.10.1170.10
2poiA00,1.10.1170.10
2qfaA00,1.10.1170.10
1i3oF00,1.10.1170.10
1ewqA03,1.10.1420.10
1wt6B00,1.20.5.340
1ic2B00,1.20.5.340
1g73A00,1.20.58.70
1ez3A00,1.20.58.70
1fioA00,1.20.58.70
1hs7A00,1.20.58.70
1dn1B00,1.20.58.70
1sumB01,1.20.58.220
1sumB02,1.20.58.220
2i0mA01,1.20.58.220
2i0mA02,1.20.58.220
1t72D02,1.20.58.220
1t72D01,1.20.58.220
2mhrA00,1.20.120.50
1ydiA02,1.20.120.230
1qkrB00,1.20.120.230
1h6gA01,1.20.120.230
1dowA00,1.20.120.230
2hujA00,1.20.120.440
2im8A00,1.20.120.440
1js3A01,1.20.1340.10
1t50A00,1.20.1400.10
2qgmA03,1.20.1440.30
3b55A03,1.20.1440.30
1zvzA01,1.20.1490.10
1u89A00,1.20.1490.10
1lslA01,2.20.100.10
1vq8U00,2.30.170.20
1k0hA00,2.40.10.180
1g8lA04,2.40.340.10
1uz5A04,2.40.340.10
2ftsA04,2.40.340.10
2pr9A01,2.60.40.1170
2pr9A02,2.60.40.1170
1mnnA00,2.60.40.1390
1ig3A01,2.60.120.320
1ig0A02,2.60.120.320
1m3yA02,2.70.9.20
3bvxA04,2.70.98.30
1o7dD01,2.70.98.30
1tg7A02,2.102.20.10
1feuA02,2.170.120.20
1jetA03,3.10.105.10
1dpeA03,3.10.105.10
1o54A01,3.10.330.20
1i9gA01,3.10.330.20
1xg4D00,3.20.20.60
1s2wA00,3.20.20.60
1m3uA00,3.20.20.60
1dxeA00,3.20.20.60
2g50A02,3.20.20.60
1izcA00,3.20.20.60
1u5hA00,3.20.20.60
2bg5A00,3.20.20.60
1sgjA00,3.20.20.60
1kblA04,3.20.20.60
2olsA04,3.20.20.60
1igwA00,3.20.20.60
2dsmA00,3.30.40.30
1kgdA02,3.30.63.10
2qorA02,3.30.63.10
2zzzA02,3.30.63.10
2rhsD06,3.30.70.380
1b7yB06,3.30.70.380
2iihA00,3.30.70.640
1t0tV01,3.30.70.1030
1tigA00,3.30.110.10
2re2A00,3.30.420.130
2qtdA00,3.30.420.130
1o13A00,3.30.420.130
1p90A00,3.30.420.130
1rduA00,3.30.420.130
1bo1A02,3.30.810.10
1e4fT01,3.30.1490.110
1x7dA01,3.30.1780.10
1mw9X01,3.40.50.140
1i7dA01,3.40.50.140
1c0pA01,3.40.50.720
1hdoA00,3.40.50.720
1c1dA02,3.40.50.720
1lqtA01,3.40.50.720
1xgkA01,3.40.50.720
1mv8A01,3.40.50.720
1gteA03,3.40.50.720
1r6dA01,3.40.50.720
1uzmB00,3.40.50.720
2gasA01,3.40.50.720
1evyA01,3.40.50.720
1f0yA01,3.40.50.720
2g76A02,3.40.50.720
1e6uA01,3.40.50.720
2ekpA00,3.40.50.720
2rafB01,3.40.50.720
1ek6A02,3.40.50.720
1i24A01,3.40.50.720
2eklA02,3.40.50.720
1dxyA02,3.40.50.720
1bg6A01,3.40.50.720
2zb4A02,3.40.50.720
1jayA00,3.40.50.720
1zk4A00,3.40.50.720
1dljA01,3.40.50.720
2nacA02,3.40.50.720
1qmgB01,3.40.50.720
1t2dA01,3.40.50.720
1gu7A02,3.40.50.720
1xdwA02,3.40.50.720
2jhfA02,3.40.50.720
1cjcA01,3.40.50.720
1txgA01,3.40.50.720
1mx3A02,3.40.50.720
2nacA01,3.40.50.720
3c24A01,3.40.50.720
2o23A00,3.40.50.720
1sbyA00,3.40.50.720
1eq2A01,3.40.50.720
2o3jB01,3.40.50.720
1vl0B01,3.40.50.720
1x7dA02,3.40.50.720
1lc0A01,3.40.50.720
1wlyA02,3.40.50.720
1obfO01,3.40.50.720
1kolA02,3.40.50.720
1hxhA00,3.40.50.720
3bioB01,3.40.50.720
1x1tA00,3.40.50.720
1k3tA01,3.40.50.720
1ks9A01,3.40.50.720
1npyA02,3.40.50.720
1l7eA01,3.40.50.720
2yyyA01,3.40.50.720
1np3B01,3.40.50.720
2p2sA01,3.40.50.720
2o3jA03,3.40.50.720
2pgdA01,3.40.50.720
2dknB00,3.40.50.720
1ooeA00,3.40.50.720
1oaaA00,3.40.50.720
2hrzA01,3.40.50.720
2a4kB01,3.40.50.720
1v3uB02,3.40.50.720
1xg5B00,3.40.50.720
1yqdA02,3.40.50.720
2gcgA02,3.40.50.720
1pjcA02,3.40.50.720
1nvmB01,3.40.50.720
1dpgA01,3.40.50.720
1n7hA02,3.40.50.720
1vpdA01,3.40.50.720
1t4bA01,3.40.50.720
1y7tA01,3.40.50.720
2qytA01,3.40.50.720
1bgvA01,3.40.50.720
2zatA00,3.40.50.720
1nytA02,3.40.50.720
3c8mA01,3.40.50.720
1jw9B00,3.40.50.720
3bmjB00,3.40.50.720
1xq1A00,3.40.50.720
1ybaA02,3.40.50.720
1kbzA01,3.40.50.720
1ff9A01,3.40.50.720
2z1nA00,3.40.50.720
3c1aA01,3.40.50.720
1o94A02,3.40.50.720
2qq5A00,3.40.50.720
1oi7A01,3.40.50.720
1h6dA01,3.40.50.720
1a4iB01,3.40.50.720
1an9A01,3.40.50.720
1i8tA01,3.40.50.720
2p91C00,3.40.50.720
1ebfA01,3.40.50.720
2cvzA01,3.40.50.720
1ja9A00,3.40.50.720
2bh9A01,3.40.50.720
1wmaA00,3.40.50.720
1cydA00,3.40.50.720
1h5qA00,3.40.50.720
1xu9C00,3.40.50.720
1h2bA02,3.40.50.720
1f06A01,3.40.50.720
6ldhA01,3.40.50.720
2d59A00,3.40.50.720
1gdhA02,3.40.50.720
2ew8B00,3.40.50.720
1vl6B02,3.40.50.720
1zmtA00,3.40.50.720
1iy8A00,3.40.50.720
2ag5C00,3.40.50.720
1li4A02,3.40.50.720
1i36A01,3.40.50.720
1y8qB01,3.40.50.720
1gpjA02,3.40.50.720
1lu9A02,3.40.50.720
1gegA00,3.40.50.720
1geeA00,3.40.50.720
1q0qA01,3.40.50.720
1mldA01,3.40.50.720
2pv7A01,3.40.50.720
1gr0A01,3.40.50.720
3c85A00,3.40.50.720
1hyeA01,3.40.50.720
1xq6A00,3.40.50.720
1gz6B01,3.40.50.720
1o89A02,3.40.50.720
1dihA01,3.40.50.720
1spxA00,3.40.50.720
1ur5C01,3.40.50.720
1r12A02,3.40.50.720
2h7iA00,3.40.50.720
1vj0A02,3.40.50.720
2c82A01,3.40.50.720
3ckyA01,3.40.50.720
1o6zA02,3.40.50.720
1pl8A02,3.40.50.720
2ouiA02,3.40.50.720
1nhwA00,3.40.50.720
1gtmA02,3.40.50.720
1pqwA00,3.40.50.720
1jtvA00,3.40.50.720
1lldA01,3.40.50.720
1dxyA01,3.40.50.720
1vi2A02,3.40.50.720
1j4aD01,3.40.50.720
2dc1A01,3.40.50.720
1zemA00,3.40.50.720
2hjsA01,3.40.50.720
1yxmC00,3.40.50.720
1kyqB01,3.40.50.720
3d4oA02,3.40.50.720
1mx3A01,3.40.50.720
2eklA01,3.40.50.720
1iz0A02,3.40.50.720
1lj8A01,3.40.50.720
3cinA01,3.40.50.720
1ps9A02,3.40.50.720
3d4oB01,3.40.50.720
1qp8A02,3.40.50.720
2ph5A01,3.40.50.720
2rhcA00,3.40.50.720
1ydeN00,3.40.50.720
2rcyA01,3.40.50.720
2g76A01,3.40.50.720
1id1A00,3.40.50.720
1hyhA01,3.40.50.720
2dt5A02,3.40.50.720
1sc6A01,3.40.50.720
2hmtA00,3.40.50.720
1bdbA00,3.40.50.720
2eggA02,3.40.50.720
1f8fA02,3.40.50.720
1yl5A01,3.40.50.720
1isiA02,3.40.50.720
3ceaA01,3.40.50.720
2jfgA01,3.40.50.720
1lluA02,3.40.50.720
1vm6B01,3.40.50.720
1lssA00,3.40.50.720
2obnD01,3.40.50.720
2ho3A01,3.40.50.720
2py6A02,3.40.50.720
1u1iA01,3.40.50.720
1edzA01,3.40.50.720
2oosB00,3.40.50.720
1p3dA01,3.40.50.720
1gdhA01,3.40.50.720
2g0tB01,3.40.50.720
1pjqA01,3.40.50.720
1pj3A02,3.40.50.720
1ydwA01,3.40.50.720
2i76A01,3.40.50.720
1xeaA01,3.40.50.720
1piwA02,3.40.50.720
1qp8A01,3.40.50.720
1hwxA03,3.40.50.720
1y8qC00,3.40.50.720
1j6uA01,3.40.50.720
1yovC01,3.40.50.720
2mdhB01,3.40.50.720
1x38A02,3.40.50.1700
2ookA00,3.40.50.10600
1p5dX03,3.40.120.10
1p5dX01,3.40.120.10
1kfiA03,3.40.120.10
1wqaA01,3.40.120.10
1kfiA02,3.40.120.10
1p5dX02,3.40.120.10
3pmgA03,3.40.120.10
3pmgA01,3.40.120.10
1vhuA00,3.40.220.10
1lamA01,3.40.220.10
1spvA00,3.40.220.10
1gytL01,3.40.220.10
1njrA00,3.40.220.10
2phjA00,3.40.1210.10
1l5xA00,3.40.1210.10
1ualA01,3.40.1280.10
1mxiA00,3.40.1280.10
1ns5B00,3.40.1280.10
1o6dA00,3.40.1280.10
2i6dA02,3.40.1280.10
1vhyA02,3.40.1280.10
1v6zA02,3.40.1280.10
1v2xA00,3.40.1280.10
2o3aB00,3.40.1280.10
1vh0A00,3.40.1280.10
1x7oA02,3.40.1280.10
2qmmA00,3.40.1280.10
1gz0B02,3.40.1280.10
1vhkA02,3.40.1280.10
1k3rA01,3.40.1280.10
2qwvA00,3.40.1280.10
1vhkB00,3.40.1280.10
1oaoD05,3.40.1470.10
1a9xB01,3.50.30.20
3canA00,3.80.30.10
1eu1A03,3.90.55.10
1lmlA02,3.90.132.10
2a1kA00,3.90.198.10
1sezA02,3.90.660.20
1fm0E00,3.90.1170.40
1jmuB01,3.90.1370.10
1ba3A05,4.10.8.10
1b8xA03,4.10.770.10
1edxA00,4.10.840.10
1g3jD00,4.10.900.10
2ozaA03,4.10.1170.10
1sauA02,1.10.10.370
1jj2G00,1.10.10.380
1ekeB02,1.10.10.460
1io2A02,1.10.10.460
3eg4A01,1.10.166.10
1fd9A02,1.10.287.460
1sqgA02,1.10.287.730
3bz1Z00,1.10.287.740
2oq1A02,1.10.930.10
1l0lF00,1.10.1090.10
3cx5G00,1.10.1090.10
1l5oA01,1.10.1610.10
1wx1A01,1.10.1610.10
1yozA00,1.10.3200.10
1hj0A00,1.20.5.520
1k87A01,1.20.5.550
1m8oB00,1.20.5.630
2r6gF01,1.20.58.370
1m1nB04,1.20.89.10
1dkxA02,1.20.1270.10
1u00A02,1.20.1270.10
2qxlB06,1.20.1270.10
1bpoA02,1.25.40.30
1nxcA00,1.50.10.50
1x9dA00,1.50.10.50
2ri9A00,1.50.10.50
1whiA00,2.40.150.20
1vq8K00,2.40.150.20
3c2qA01,2.40.420.10
3dqgC00,2.60.34.10
1dkxA01,2.60.34.10
2qxlB05,2.60.34.10
1bprA00,2.60.34.10
1g4mB02,2.60.40.640
1p5vB00,2.60.40.1310
1m1hA02,2.60.320.10
1k3iA02,2.130.10.80
2vfmA00,2.160.20.20
1dabA00,2.160.20.20
3eipA00,3.10.50.20
1iq8A03,3.10.450.90
2q07A02,3.10.450.90
2hfqA00,3.10.510.10
2qx2A00,3.10.570.10
1p7tA03,3.20.20.360
2qhqB00,3.20.160.10
2i06A02,3.30.54.10
1jidA00,3.30.56.30
1lngA00,3.30.56.30
1kvnA00,3.30.56.30
2hhpA03,3.30.70.590
1q79A01,3.30.70.590
1j27A00,3.30.70.1120
2zejA01,3.30.70.1390
1dq3A02,3.30.160.90
2jvaA00,3.30.160.200
2fmpA04,3.30.210.10
2bcqA04,3.30.210.10
1jmsA04,3.30.210.10
1jajA02,3.30.210.10
1n4wA02,3.30.410.10
1kdgA02,3.30.410.10
1ixmB02,3.30.565.30
1h4xA00,3.30.750.24
1vc1A00,3.30.750.24
1th8B00,3.30.750.24
1evlA01,3.30.930.10
1nnhA00,3.30.930.10
1g5hA01,3.30.930.10
1x54A02,3.30.930.10
1wleA02,3.30.930.10
1l0wA02,3.30.930.10
2rhsC00,3.30.930.10
1b8aA02,3.30.930.10
1kmmA01,3.30.930.10
1hc7A01,3.30.930.10
1usyA00,3.30.930.10
12asA00,3.30.930.10
1e1oA02,3.30.930.10
1atiB01,3.30.930.10
3bfmA01,3.30.930.10
1j5wB01,3.30.930.10
1yb3A00,3.30.930.10
2rhqB05,3.30.930.10
2pmfA01,3.30.930.10
1hxdA02,3.30.930.10
1b7yB05,3.30.930.10
2iy5A00,3.30.930.10
1bjtA01,3.30.1490.30
1bgwA01,3.30.1490.30
1syxB00,3.30.1490.40
1m0wA01,3.30.1490.80
2hgsA01,3.30.1490.80
2hjqA01,3.40.5.20
1chdA00,3.40.50.180
1hfeL01,3.40.50.1780
3c98A02,3.40.50.1910
1mqsA02,3.40.50.1910
1vkwA02,3.40.109.30
2v9lA00,3.40.225.10
1e4cP00,3.40.225.10
1k0wA00,3.40.225.10
1pvtA00,3.40.225.10
2phpB00,3.40.225.10
2opiB00,3.40.225.10
2elcA02,3.40.1030.10
2dsjA02,3.40.1030.10
1o17D02,3.40.1030.10
1khdD02,3.40.1030.10
2hq4A00,3.40.1600.10
1b25A01,3.60.9.10
2qedA00,3.60.15.10
1mqoA00,3.60.15.10
1qh5A00,3.60.15.10
2gmnA00,3.60.15.10
2ohhA01,3.60.15.10
1m2xA00,3.60.15.10
1vmeB01,3.60.15.10
2q9uB01,3.60.15.10
1smlA00,3.60.15.10
1znbB00,3.60.15.10
1jjeB00,3.60.15.10
2p97A00,3.60.15.10
1y44A00,3.60.15.10
1e5dA02,3.60.15.10
1ww1A00,3.60.15.10
1p9eA00,3.60.15.10
3bv6A00,3.60.15.10
1xtoA00,3.60.15.10
1qmhA01,3.65.10.20
1bobA01,3.90.360.10
2bmoA01,3.90.380.10
1wqlA01,3.90.380.10
1nktA02,3.90.1440.10
1hy9A00,4.10.40.30
1qqp400,4.10.90.10
2mev400,4.10.90.10
1tme400,4.10.90.10
1dp3A00,1.10.10.450
1tt5B02,1.10.10.520
1ji7A00,1.10.150.50
1pk3A00,1.10.150.50
1b4fA00,1.10.150.50
1sv0D00,1.10.150.50
1oxjA01,1.10.150.50
1dxsA00,1.10.150.50
1v38A00,1.10.150.50
1z1vA00,1.10.150.50
1x9xA00,1.10.150.50
1sxdA00,1.10.150.50
1dk8A02,1.10.167.10
1fqjB02,1.10.167.10
1agrE02,1.10.167.10
2js3A01,1.10.287.780
1adeA02,1.10.300.10
1p9bA02,1.10.300.10
1dj2A02,1.10.300.10
1rssA00,1.10.455.10
1iqvA00,1.10.455.10
1ymtA00,1.10.565.10
1fcyA00,1.10.565.10
2ax6A00,1.10.565.10
1nq7A00,1.10.565.10
1ie9A00,1.10.565.10
2iogA00,1.10.565.10
1g2nA00,1.10.565.10
2e2rA00,1.10.565.10
3cjwA00,1.10.565.10
3bejB00,1.10.565.10
3fc6B00,1.10.565.10
2awhB00,1.10.565.10
2h79A00,1.10.565.10
1pzlA00,1.10.565.10
1ovlB00,1.10.565.10
2r40D00,1.10.565.10
1nrlB00,1.10.565.10
2iz2A00,1.10.565.10
1sigA00,1.10.601.10
1iieA00,1.10.870.10
1j09A02,1.10.1160.10
1qtqA03,1.10.1160.10
1p7tA01,1.10.1860.10
2p3yA02,1.10.3360.10
3c24A02,1.10.3640.10
1ik9B02,1.20.5.370
1fu1A02,1.20.5.370
1jekA00,1.20.5.440
2e5yA02,1.20.5.440
2gm6A01,1.20.5.440
1fs0E02,1.20.5.440
1ifpA00,1.20.5.440
1r8eA03,1.20.5.490
1vq8P02,1.20.5.560
1kn7A00,1.20.5.600
1jnrA03,1.20.58.100
1chuA03,1.20.58.100
1fumA03,1.20.58.100
1v54C02,1.20.120.80
1fftC00,1.20.120.80
1tqgA00,1.20.120.160
2a0bA00,1.20.120.160
2r25A00,1.20.120.160
2oocB00,1.20.120.160
1i5nD00,1.20.120.160
1sr2A00,1.20.120.160
1y6dA00,1.20.120.160
2ii0A01,1.20.870.10
1lq7A00,1.20.1270.70
2k0sA00,1.20.1520.10
1wj2A00,2.20.25.80
1y12A00,2.30.110.20
2ck3D01,2.40.10.170
1pqhB00,2.40.40.20
2napA04,2.40.40.20
1uheA00,2.40.40.20
1vc3B00,2.40.40.20
1eu1A04,2.40.40.20
2iv2X04,2.40.40.20
1qcsA01,2.40.40.20
1wlfA01,2.40.40.20
2c45A00,2.40.40.20
1cr5A01,2.40.40.20
1e32A01,2.40.40.20
1cz4A01,2.40.40.20
1afpA00,2.40.50.60
2a6hC06,2.40.50.150
2djfA00,2.40.128.80
2oqzA00,2.40.260.10
1t2wA00,2.40.260.10
2in5A00,2.40.360.10
4bclA00,2.50.10.10
2oizH00,2.60.30.10
2bbkL00,2.60.30.10
1g4mA01,2.60.40.840
1hx0A02,2.60.40.1180
3bmvA02,2.60.40.1180
1mxgA02,2.60.40.1180
1sznA02,2.60.40.1180
1ji1A03,2.60.40.1180
2guyA02,2.60.40.1180
1nofA01,2.60.40.1180
1vjsA03,2.60.40.1180
1ktbA02,2.60.40.1180
3edfA03,2.60.40.1180
1zjaA03,2.60.40.1180
2nt0A02,2.60.40.1180
3clwC01,2.60.40.1180
1hl9A02,2.60.40.1180
3cc1A02,2.60.40.1180
1wzlA04,2.60.40.1180
1uokA03,2.60.40.1180
1bf2A03,2.60.40.1180
1m7xA03,2.60.40.1180
1ua7A02,2.60.40.1180
1ht6A02,2.60.40.1180
3bvxA03,2.60.40.1180
1o7dC02,2.60.40.1180
1iv8A05,2.60.40.1180
1gcyA02,2.60.40.1180
2igtA02,2.60.40.1180
1gjwA02,2.60.40.1180
1kwgA03,2.60.40.1180
1r46A02,2.60.40.1180
1lwjA03,2.60.40.1180
1eh9A02,2.60.40.1180
1l6pA00,2.60.40.1250
1kzqA02,2.60.40.1320
1kzqA01,2.60.40.1320
1mkfA01,2.60.40.1330
1rocA00,2.60.40.1490
2ofcA00,2.60.270.20
1gwyA00,2.60.270.20
2qtsA02,2.60.470.10
2dpfA00,2.90.10.10
1b2pA00,2.90.10.10
1ouwA00,2.100.10.30
1ugxA00,2.100.10.30
1c3kA00,2.100.10.30
2bmzA00,2.100.10.30
2jz4A01,2.100.10.30
3c2uA01,2.115.10.20
3cpnA00,2.115.10.20
1uv4A00,2.115.10.20
1tifA00,3.10.20.80
1h16A00,3.20.70.20
1l1lA01,3.20.70.20
1hk8A00,3.20.70.20
2ha9B00,3.20.70.20
1kp6A00,3.30.70.440
1mgtA01,3.30.160.70
1sfeA01,3.30.160.70
2nlvA00,3.30.310.110
1qgiA01,3.30.386.10
1chkA02,3.30.386.10
1tfeA01,3.30.479.20
1efuB03,3.30.479.20
2gybS00,3.30.860.10
1mgpA02,3.30.1180.10
1lfpA02,3.30.1270.10
1mw7A02,3.30.1270.10
1seiA02,3.30.1490.10
1i6uB02,3.30.1490.10
1oaoC03,3.30.1650.10
2ux9B00,3.30.1660.10
2jnaA01,3.30.1660.10
1qnxA00,3.40.33.10
1cfeA00,3.40.33.10
1bjtA02,3.40.50.670
1bgwA02,3.40.50.670
1vl1A00,3.40.50.1360
2bkxA00,3.40.50.1360
2o0mA00,3.40.50.1360
2gnpA00,3.40.50.1360
2r5fA00,3.40.50.1360
1fs5A00,3.40.50.1360
1o8bB01,3.40.50.1360
1uj6A01,3.40.50.1360
1xtzA01,3.40.50.1360
1su8A02,3.40.50.2030
1gntA04,3.40.50.2030
1gnlA03,3.40.50.2030
1su8A03,3.40.50.2030
1oaoC02,3.40.50.2030
1wcwA01,3.40.50.10090
1wcwA02,3.40.50.10090
1jr2A01,3.40.50.10090
1jr2A02,3.40.50.10090
1l5oA02,3.40.50.10210
2fr5A00,3.40.140.10
1p6oA00,3.40.140.10
1wkqB00,3.40.140.10
3b8fC00,3.40.140.10
1r5tB00,3.40.140.10
2pw9C03,3.40.140.10
1oi0A00,3.40.140.10
1cttA01,3.40.140.10
2qlcA00,3.40.140.10
1cttA02,3.40.140.10
1vq2A00,3.40.140.10
1kmvA00,3.40.430.10
1aoeA00,3.40.430.10
1ra9A00,3.40.430.10
1juvA00,3.40.430.10
3dfrA00,3.40.430.10
1df7A00,3.40.430.10
2fziA00,3.40.430.10
2hxvA02,3.40.430.10
1cz3B00,3.40.430.10
2bl9A00,3.40.430.10
1qzfA01,3.40.430.10
1vdrA00,3.40.430.10
2p4gA00,3.40.430.10
1o04A01,3.40.605.10
1uzbA01,3.40.605.10
3b4wA01,3.40.605.10
3ed6A01,3.40.605.10
1euhA01,3.40.605.10
3ek1B01,3.40.605.10
1ez0B01,3.40.605.10
1o20A01,3.40.605.10
1uxtA01,3.40.605.10
1a4sA01,3.40.605.10
1ad3A01,3.40.605.10
2odfD01,3.40.630.40
2q7sA00,3.40.630.40
1jwqA00,3.40.630.40
1vq8C00,3.40.1370.10
1dmgA00,3.40.1370.10
2psbA00,3.50.90.10
1xknA00,3.75.10.10
1vkpB00,3.75.10.10
1s9rA01,3.75.10.10
1jdwA00,3.75.10.10
1g61A00,3.75.10.10
2cmuA00,3.75.10.10
1h70A00,3.75.10.10
1g62A00,3.75.10.10
2c7pA02,3.90.120.10
1g55A01,3.90.120.10
1dctA02,3.90.120.10
2e2dC01,3.90.370.10
1lzjA00,3.90.550.10
2fy7A00,3.90.550.10
1qg8A00,3.90.550.10
1fxoA00,3.90.550.10
1vicA00,3.90.550.10
1hm9A01,3.90.550.10
1ll3A00,3.90.550.10
1jykA00,3.90.550.10
2apcA01,3.90.550.10
1g9rA00,3.90.550.10
1i52A00,3.90.550.10
1v84A00,3.90.550.10
1omzB00,3.90.550.10
1tzfA00,3.90.550.10
1e5kA00,3.90.550.10
2qh5B00,3.90.550.10
1eziA00,3.90.550.10
1s4nB00,3.90.550.10
2px7A00,3.90.550.10
1w55A01,3.90.550.10
1qwjB00,3.90.550.10
3bcvA00,3.90.550.10
2i5eA01,3.90.550.10
1jv1B01,3.90.550.10
1twfF00,3.90.940.10
2a6hE00,3.90.940.10
1qklA00,3.90.940.10
1el6A03,3.90.1160.10
1ucsA00,3.90.1210.10
1vliA02,3.90.1210.10
1wvoA00,3.90.1210.10
2py5A02,3.90.1600.10
1tbgF00,4.10.260.10
1omwG00,4.10.260.10
1f8nA03,4.10.372.10
1ik3A03,4.10.372.10
1d6gA00,4.10.670.10
1cf4B00,4.10.680.10
1vq8B01,4.10.960.10
1eijA00,1.10.8.140
1xb4C02,1.10.10.560
1nkdA00,1.10.287.230
1yewA02,1.10.287.710
2ibdA02,1.10.357.10
1t56A02,1.10.357.10
1vi0A02,1.10.357.10
2id3A02,1.10.357.10
2np5D00,1.10.357.10
2vkeA02,1.10.357.10
1rktA02,1.10.357.10
3bqyA02,1.10.357.10
2iaiA02,1.10.357.10
2hxiB02,1.10.357.10
3ccyA02,1.10.357.10
3c2bA02,1.10.357.10
2hyjA02,1.10.357.10
2q24A00,1.10.357.10
3cwrB00,1.10.357.10
3cjdA00,1.10.357.10
3bqzA02,1.10.357.10
2raeA02,1.10.357.10
2hytA00,1.10.357.10
2rasA01,1.10.357.10
2hxoA02,1.10.357.10
3bhqA00,1.10.357.10
3colB00,1.10.357.10
2np3A00,1.10.357.10
1pb6A02,1.10.357.10
2of7A02,1.10.357.10
2i10B02,1.10.357.10
2qwtA00,1.10.357.10
2hkuB00,1.10.357.10
3cdlB02,1.10.357.10
3bniB00,1.10.357.10
2qtqB00,1.10.357.10
3b81A00,1.10.357.10
2qkoA00,1.10.357.10
2o7tA00,1.10.357.10
3bjbD00,1.10.357.10
2qibB00,1.10.357.10
3bruB00,1.10.357.10
2np3B02,1.10.357.10
3crjC00,1.10.357.10
1jusA02,1.10.357.10
2pz9A00,1.10.357.10
2oi8A00,1.10.357.10
3c07B00,1.10.357.10
1b4uA00,1.10.700.10
2q66A01,1.10.1410.10
1g8qA00,1.10.1450.10
1k6kA00,1.10.1780.10
1khyD00,1.10.1780.10
1ssqA01,1.10.3130.10
2j58A04,1.20.5.70
1afoA00,1.20.5.70
1hgvA00,1.20.5.80
2c0wA00,1.20.5.80
1pfiA00,1.20.5.230
2ifoA00,1.20.5.230
1avyB00,1.20.5.320
2pgdA03,1.20.5.320
2iz1A03,1.20.5.320
1avyA00,1.20.5.320
1pgjA03,1.20.5.320
1ox3A00,1.20.5.320
1aa0A00,1.20.5.320
1l2pA00,1.20.5.620
2oyoA01,1.20.5.810
2pfxA01,1.20.5.810
2prrA01,1.20.5.810
2icwG01,1.20.120.390
1xzpA02,1.20.120.430
2d29A03,1.20.140.10
2pg0A03,1.20.140.10
1rx0A03,1.20.140.10
2rfqC03,1.20.140.10
1siqA03,1.20.140.10
2ddhA03,1.20.140.10
2uxwA01,1.20.140.10
1r2jA03,1.20.140.10
1w07A04,1.20.140.10
2or0A03,1.20.140.10
1ivhA03,1.20.140.10
1u8vB03,1.20.140.10
2ikbB00,1.20.141.10
